model,case,pairs,roc_auc,accuracy,threshold,far,frr
baseline_full,masked-masked,254,0.8207751937984497,0.7637795275590551,0.480984091758728,0.13178294573643412,0.344
contrastive_adapter_masked_only,masked-masked,254,0.777860465116279,0.7716535433070866,0.3337007164955139,0.10077519379844961,0.36
partial_finetune_full,masked-masked,254,0.8335503875968993,0.7992125984251969,0.3589421212673187,0.16279069767441862,0.24
baseline_full,masked-unmasked,419,0.7453178400546822,0.6968973747016707,0.32704466581344604,0.3047619047619048,0.3014354066985646
contrastive_adapter_masked_only,masked-unmasked,419,0.7056277056277056,0.6634844868735084,0.3258863389492035,0.21904761904761905,0.45454545454545453
partial_finetune_full,masked-unmasked,419,0.7720665299612668,0.720763723150358,0.22586201131343842,0.3333333333333333,0.22488038277511962
baseline_full,unmasked-unmasked,765,0.9667819738029478,0.9045751633986928,0.4969838261604309,0.07427055702917772,0.11597938144329897
contrastive_adapter_masked_only,unmasked-unmasked,765,0.9667819738029478,0.9045751633986928,0.4969838261604309,0.07427055702917772,0.11597938144329897
partial_finetune_full,unmasked-unmasked,765,0.9514958024556318,0.8915032679738563,0.44435667991638184,0.11671087533156499,0.10051546391752578
