config,trainable_prefixes,adapter_steps,finetune_steps,finetune_lr,all_distill_weight,unmasked_distill_weight,baseline_masked_unmasked_auc,contrastive_adapter_masked_unmasked_auc,partial_finetune_masked_unmasked_auc,baseline_unmasked_unmasked_auc,partial_finetune_unmasked_unmasked_auc,partial_finetune_masked_gain,partial_finetune_unmasked_regression,recommendation
unregularized_large_tail,"repeat_3,block8,last_linear,last_bn",3000,2000,0.00002,0.0,0.0,0.7453178400546822,0.7064479380268853,0.7606288448393711,0.9667819738029478,0.8972421996773223,0.0153110047846889,0.0695397741256255,NOT_YET_PROMISING
small_tail_distilled,"block8,last_linear,last_bn",1000,3000,0.00001,0.05,1.0,0.7453178400546822,0.7069491911597174,0.7419002050580998,0.9667819738029478,0.936394213678252,-0.0034176349965824,0.0303877601246958,NOT_YET_PROMISING
large_tail_distilled,"repeat_3,block8,last_linear,last_bn",500,3000,0.00001,0.05,1.0,0.7453178400546822,0.7056277056277056,0.7720665299612668,0.9667819738029478,0.9514958024556318,0.0267486899065846,0.0152861713473160,PROMISING
