run,epoch,loss,calibration_auc
adapted,30,0.0053501763941974124,0.9641598344830091
adapted,31,0.006273247282528742,0.9639609207531593
adapted,32,0.004514815862586891,0.9650461849774381
adapted,33,0.0036143104709811845,0.963483105961636
adapted,34,0.003500173367369412,0.9634777518400333
adapted,35,0.00342848665102131,0.9618578866860192
adapted,36,0.011899230442412029,0.9610974391723113
adapted,37,0.012582852376032282,0.9606572654781165
adapted,38,0.011340881245930426,0.9602049233257337
adapted,39,0.005038207378873432,0.9627100032514121
adapted,40,0.005429915748854083,0.9629937716963609
adapted,41,0.005162239726103673,0.9629434754025163
adapted,42,0.0026719574763608925,0.9632895463533888
adapted,43,0.003102191637100821,0.9647565756725588
adapted,44,0.003018590309445492,0.9636007343907886
adapted,45,0.0021364599392241375,0.9630028574784748
adapted,46,0.0016657615448242393,0.962905185320751
adapted,47,0.0016825144840616057,0.9617946107034406
adapted,48,0.0017694950439776718,0.9620821108089007
adapted,49,0.0030308171156899666,0.9592434528827564
adapted,50,0.005137629373612898,0.9618663234836965
adapted,51,0.0037735919711518696,0.9616844455953102
adapted,52,0.002597990949024362,0.9642278156027541
adapted,53,0.004192089991622858,0.9623378106769621
adapted,54,0.008682803940874608,0.9611821316413012
adapted,55,0.005726597175552425,0.9606744635656892
adapted,56,0.003716174058552662,0.9613464869498963
adapted,57,0.0031963892246660015,0.9608866814764914
adapted,58,0.004569233729588715,0.961113988275447
adapted,59,0.002794266265647655,0.9612528709449017
adapted,60,0.0035827691136298447,0.9614530826436253
