alpha,masked-masked_roc_auc,masked-unmasked_roc_auc,mean_masked_roc_auc
0.0,0.8596059113300493,0.7682891705069125,0.8139475409184809
0.05,0.8817733990147784,0.8130760368663595,0.847424717940569
0.1,0.8993226600985222,0.8516705069124425,0.8754965835054824
0.15000000000000002,0.914716748768473,0.8865927419354839,0.9006547453519784
0.2,0.9270320197044335,0.9166186635944701,0.9218253416494517
0.25,0.9451970443349754,0.9362039170506912,0.9407004806928333
0.30000000000000004,0.9559729064039408,0.9491647465437787,0.9525688264738598
0.35000000000000003,0.9655172413793103,0.962413594470046,0.9639654179246782
0.4,0.9719827586206896,0.9696140552995393,0.9707984069601144
0.45,0.9750615763546798,0.9736463133640554,0.9743539448593677
0.5,0.9802955665024631,0.977030529953917,0.9786630482281901
0.55,0.9818349753694581,0.9786866359447005,0.9802608056570793
0.6000000000000001,0.9861453201970444,0.9795506912442397,0.982848005720642
0.65,0.9864532019704434,0.9802707373271891,0.9833619696488163
0.7000000000000001,0.9870689655172413,0.9807027649769585,0.9838858652470999
0.75,0.9876847290640394,0.9803427419354839,0.9840137354997616
0.8,0.9889162561576355,0.9801987327188939,0.9845574944382647
0.8500000000000001,0.9892241379310345,0.9793346774193548,0.9842794076751946
0.9,0.9895320197044335,0.9786146313364055,0.9840733255204195
0.9500000000000001,0.9892241379310345,0.9781826036866359,0.9837033708088352
1.0,0.9898399014778325,0.9775345622119815,0.983687231844907
