epoch,loss,cross_entropy,supervised_contrastive
1,5.846900594234467,4.815641820430756,4.125035190582276
2,5.817632877826691,4.801012814044952,4.066480210423469
3,5.799759584665298,4.787198096513748,4.0502459675073625
4,5.779790717363357,4.770041048526764,4.038998636603355
5,5.739515322446823,4.740175092220307,3.997360947728157
6,5.717319595813751,4.715931719541549,4.005551564693451
7,5.661718738079071,4.673391455411911,3.9533091515302656
8,5.630293381214142,4.643967753648758,3.9453025072813035
9,5.56500443816185,4.594199472665787,3.8832198709249495
10,5.479744631052017,4.527100604772568,3.8105761617422105
11,5.427548915147781,4.478159540891648,3.7975576251745222
12,5.322966879606247,4.391642999649048,3.725295513868332
13,5.234975391626358,4.318646901845932,3.665313956141472
14,5.147765272855759,4.237501400709152,3.6410556018352507
15,5.046575438976288,4.151976028084755,3.5783975571393967
16,4.936102133989334,4.054235103726387,3.527468180656433
17,4.834243714809418,3.9740700989961626,3.440694457292557
18,4.689197057485581,3.8454477816820143,3.374997133016586
19,4.511153358221054,3.6898006826639174,3.285410740971565
20,4.448364579677582,3.6271021872758866,3.2850496232509614
21,4.304288855195045,3.504831168055534,3.197830691933632
22,4.11752624809742,3.361998176574707,3.0221123486757278
23,4.0435873627662655,3.2960877448320387,2.9899984002113342
24,3.88050799369812,3.17890927195549,2.8063948661088944
25,3.7589733064174653,3.0777757197618483,2.724790355563164
26,3.610304120182991,2.9441217720508575,2.664729444682598
27,3.476704052090645,2.861693003773689,2.460044230520725
28,3.2786645025014876,2.699207493662834,2.3178280636668207
29,3.2146051973104477,2.646917960047722,2.2707489162683485
30,3.0105024009943007,2.4943585872650145,2.0645752787590026
