step,loss,arcface_ce,all_distill,unmasked_distill
1,16.879045486450195,16.690744400024414,0.21733126044273376,0.17743434011936188
150,12.764779090881348,12.575662612915039,0.2733023464679718,0.17545157670974731
300,9.979888916015625,9.730222702026367,0.3607116937637329,0.2316303849220276
450,7.308426380157471,7.0213212966918945,0.46290403604507446,0.26395994424819946
600,5.6300764083862305,5.232283592224121,0.5054205060005188,0.3725218176841736
750,3.426173686981201,2.980621099472046,0.5471718311309814,0.4181939363479614
900,1.9002599716186523,1.4046542644500732,0.5729354619979858,0.4669589400291443
1050,0.9804095029830933,0.44740933179855347,0.5838279128074646,0.5038087368011475
1200,0.8073124289512634,0.30629509687423706,0.591709315776825,0.4714318513870239
1350,0.8267048597335815,0.3698035478591919,0.5742039680480957,0.42819109559059143
1500,0.5504875183105469,0.09238819032907486,0.5868078470230103,0.4287589192390442
1650,0.4781325161457062,0.07244224846363068,0.5720546245574951,0.3770875334739685
1800,0.4458494186401367,0.0703282430768013,0.5443944334983826,0.3483014404773712
1950,0.4211375415325165,0.07557821273803711,0.5474036335945129,0.3181891441345215
2100,0.41611918807029724,0.06302258372306824,0.5745959877967834,0.32436680793762207
2250,0.39710330963134766,0.03086504153907299,0.5788437128067017,0.3372960686683655
2400,0.3690829575061798,0.0426742285490036,0.5351744890213013,0.29965001344680786
2550,0.3615628778934479,0.040141332894563675,0.5384060144424438,0.29450124502182007
2700,0.9111545085906982,0.5990054607391357,0.5313811302185059,0.28557997941970825
2850,0.35197293758392334,0.06270977854728699,0.5309469699859619,0.26271581649780273
3000,0.6641361713409424,0.3763483464717865,0.5025237798690796,0.2626616358757019
