epoch,loss,calibration_auc
1,0.35100792700594124,0.9442074569609746
2,0.182849628275091,0.9613597911308488
3,0.09504236294464631,0.9621943851164505
4,0.05454756671732122,0.96787348567594
5,0.03146220012144609,0.9690599914723446
6,0.01850119685246186,0.9681429764632814
7,0.020647323978218165,0.9682841305782646
8,0.018592364476485684,0.9644608010155308
9,0.01660901140421629,0.9662021885053174
10,0.01559606330384585,0.9657629882877777
11,0.012868475253609095,0.9679734292791924
12,0.012759386913173578,0.9681716940246056
13,0.008614680617624385,0.9663327966232043
14,0.012115974701009691,0.9698064858206634
15,0.0087059458125044,0.9700969063560887
16,0.008000463126650589,0.9697430475919757
17,0.006327019657262347,0.9711484233896588
18,0.0090082719985565,0.9685072189783815
19,0.008431804965419525,0.9702680760012694
20,0.00732714778278023,0.9704124750384361
21,0.0057767713167281316,0.9697824733965056
22,0.0030841452947987075,0.9701235147179934
23,0.002241356710543517,0.9699370939385501
24,0.0027196389739401637,0.9714041232577202
25,0.005026039687006481,0.9695084397181071
26,0.0052865496323316954,0.9693155290942969
27,0.00699965680250898,0.96924008465353
28,0.010822261291005733,0.9689512865791966
29,0.008197950408793985,0.9655201058623414
30,0.008839874397116629,0.9663366905298243
31,0.006947684464764527,0.969101850968512
32,0.00518695873060179,0.9682964612825621
33,0.006054274009710008,0.9692024435562011
34,0.005615545032461258,0.9688109436947592
35,0.007365700691430406,0.9699494246428476
36,0.005622869539497928,0.9690074237329716
37,0.006130209712798453,0.9684765544637475
38,0.004833580667830326,0.9675121635908048
39,0.003696491489906541,0.9664411770241337
40,0.0018533954179888084,0.9672696056575866
41,0.0008780510384398935,0.9687246287646776
42,0.001378581101678058,0.9683856966426089
43,0.0007322210946850564,0.9687926098844225
44,0.0004808942415613935,0.9692214263509745
45,0.0005235607664375989,0.968659568074898
46,0.00024494333523431455,0.9689219200334357
47,0.00021400723317955536,0.9686035931672322
48,0.00014455141737760807,0.9690444158458635
49,0.00021558355001616292,0.9699507226117211
50,0.0001905876979104836,0.9694990294437748
51,0.00021365599452771922,0.9698008072068423
52,0.00012735490990135903,0.9700532621527204
53,0.0007644541512656195,0.9703272958311187
54,0.004576462146889588,0.9690898447564329
55,0.008268061169655994,0.9639974261277239
56,0.014750373345503415,0.9640400968544374
57,0.012964083618399772,0.9668545801103144
58,0.007842900659042326,0.9666316539563067
59,0.007768995503217659,0.9669027672047396
60,0.00664480368194001,0.9670534938401641
