model,case,pairs,roc_auc,accuracy,threshold,far,frr
baseline_facenet_full,masked-masked,254,0.8207751937984497,0.7637795275590551,0.48094528913497925,0.13178294573643412,0.344
elasticface_arc_aug,masked-masked,254,0.8262945736434109,0.84251968503937,0.1864253431558609,0.031007751937984496,0.288
maskinv_hg,masked-masked,254,0.8364031007751938,0.8346456692913385,0.19584128260612488,0.031007751937984496,0.304
maskinv_lg,masked-masked,254,0.8258604651162791,0.8346456692913385,0.20427080988883972,0.023255813953488372,0.312
baseline_facenet_full,masked-unmasked,419,0.7453178400546822,0.6968973747016707,0.32700392603874207,0.3047619047619048,0.3014354066985646
elasticface_arc_aug,masked-unmasked,419,0.8040095693779904,0.7732696897374701,0.11437316238880157,0.1619047619047619,0.291866028708134
maskinv_hg,masked-unmasked,419,0.8244931647300068,0.7971360381861575,0.11244518309831619,0.1380952380952381,0.2679425837320574
maskinv_lg,masked-unmasked,419,0.8273181818181818,0.7995226730310262,0.14439275860786438,0.08095238095238096,0.32057416267942584
baseline_facenet_full,unmasked-unmasked,765,0.9667956465859061,0.9045751633986928,0.497016042470932,0.07427055702917772,0.11597938144329897
elasticface_arc_aug,unmasked-unmasked,765,0.9684301156863585,0.9111111111111111,0.15864022076129913,0.07957559681697612,0.0979381443298969
maskinv_hg,unmasked-unmasked,765,0.9610526315789474,0.9071895424836601,0.21419933438301086,0.03978779840848806,0.14432989690721648
maskinv_lg,unmasked-unmasked,765,0.9582362430865922,0.8993464052287582,0.18751920759677887,0.05570291777188329,0.14432989690721648
